DATE,Dubai Price,WTI,Brent
2020-07-01,42.26,39.88,42.18
2020-07-02,43.2,40.57,43.19
2020-07-06,42.89,40.51,42.73
2020-07-07,43.09,40.59,43.28
2020-07-08,43.29,40.91,43.67
2020-07-09,42.79,39.64,42.35
2020-07-10,43.4,40.56,43.27
2020-07-13,43.1,40.06,42.85
2020-07-14,43.22,40.3,42.97
2020-07-15,43.78,41.2,43.96
2020-07-16,43.3,40.74,43.71
2020-07-17,43.0,40.55,43.53
2020-07-20,43.05,40.83,43.3
2020-07-21,43.58,41.76,44.31
2020-07-22,43.62,41.88,43.98
2020-07-23,43.3,40.99,42.96
2020-07-24,43.28,41.23,43.29
2020-07-27,43.33,41.46,43.39
2020-07-28,43.28,40.89,43.11
2020-07-29,43.29,41.13,43.51
2020-07-30,43.28,39.85,42.98
2020-07-31,42.54,40.1,43.13
2020-08-03,43.39,40.83,43.76
2020-08-04,43.4,41.67,43.99
2020-08-05,43.88,42.25,44.92
2020-08-06,43.61,41.93,45.04
2020-08-07,43.33,41.16,44.07
2020-08-10,43.78,41.94,44.19
2020-08-11,43.38,41.53,43.68
2020-08-12,43.97,42.6,45.09
2020-08-13,43.59,42.26,44.87
2020-08-14,43.39,42.05,44.86
2020-08-17,43.78,42.89,44.91
2020-08-18,43.96,42.89,45.34
2020-08-19,43.96,42.91,45.21
2020-08-20,43.78,42.62,44.56
2020-08-21,43.69,42.32,43.94
2020-08-24,43.91,42.44,44.43
2020-08-25,44.0,43.17,46.01
2020-08-26,43.96,43.21,45.79
2020-08-27,43.96,42.88,44.84
2020-08-28,43.94,42.96,45.22
2020-09-01,44.85,42.76,45.72
2020-09-02,43.83,42.76,42.7
2020-09-03,43.61,41.39,42.72
2020-09-04,42.61,39.69,41.1
2020-09-08,40.2,36.87,38.53
2020-09-09,40.78,38.05,39.98
2020-09-10,40.25,37.25,39.27
2020-09-11,40.24,37.33,38.8
2020-09-14,40.15,37.23,38.57
2020-09-15,40.69,38.29,39.54
2020-09-16,41.58,40.17,41.23
2020-09-17,42.02,40.99,42.35
2020-09-18,42.01,41.09,42.16
2020-09-21,41.41,39.26,40.37
2020-09-22,41.5,39.55,40.84
2020-09-23,41.49,39.92,41.09
2020-09-24,41.56,40.11,41.24
2020-09-25,41.6,40.06,40.91
2020-09-28,41.62,40.47,41.59
2020-09-29,41.53,39.03,40.33
2020-09-30,41.49,40.05,40.3
2020-10-01,40.3,38.51,39.75
2020-10-02,38.48,36.9,38.0
2020-10-05,40.42,39.12,39.78
2020-10-06,41.56,40.52,41.27
2020-10-07,40.98,39.82,40.62
2020-10-08,41.88,41.04,42.0
2020-10-09,41.48,40.44,41.63
2020-10-12,40.78,39.22,40.5
2020-10-13,41.24,40.03,41.34
2020-10-14,41.78,40.86,41.81
2020-10-15,41.65,40.84,41.61
2020-10-16,41.48,40.7,41.34
2020-10-19,41.37,40.69,41.29
2020-10-20,41.59,41.37,41.62
2020-10-21,41.07,39.88,40.09
2020-10-22,41.31,40.46,41.28
2020-10-23,41.14,39.73,40.71
2020-10-26,40.89,38.39,39.06
2020-10-27,40.98,39.34,39.72
2020-10-28,40.75,37.27,37.86
2020-10-29,40.68,35.94,36.56
2020-10-30,40.66,35.64,36.33
2020-11-02,38.36,36.6,37.78
2020-11-03,39.16,37.44,38.17
2020-11-04,40.55,38.97,39.68
2020-11-05,40.14,38.56,39.47
2020-11-06,39.28,36.97,38.08
2020-11-09,41.4,40.05,40.93
2020-11-10,42.19,41.18,42.25
2020-11-11,42.36,41.23,42.5
2020-11-12,42.37,40.9,42.16
2020-11-13,41.87,39.93,41.51
2020-11-16,42.52,41.14,42.71
2020-11-17,42.49,41.24,42.54
2020-11-18,42.69,41.64,42.91
2020-11-19,42.6,41.57,43.09
2020-11-20,42.84,41.99,43.79
2020-11-23,43.08,42.91,45.0
2020-11-24,43.4,44.71,46.63
2020-11-25,43.52,45.58,47.3
2020-11-27,43.44,.,46.88
2020-11-30,43.39,45.2,46.84
2020-12-01,46.96,44.54,47.03
2020-12-02,47.67,45.23,47.8
2020-12-03,48.04,45.65,48.37
2020-12-04,48.35,46.23,49.1
2020-12-07,48.23,45.72,48.63
2020-12-08,48.28,45.64,48.84
2020-12-09,48.42,45.48,48.81
2020-12-10,49.29,46.76,50.33
2020-12-11,49.22,46.59,50.01
2020-12-14,49.46,47.02,50.27
2020-12-15,49.81,47.58,50.77
2020-12-16,49.96,47.86,50.83
2020-12-17,50.08,48.34,51.2
2020-12-18,50.34,49.04,52.17
2020-12-21,49.86,47.79,50.61
2020-12-22,49.57,47.02,49.88
2020-12-23,49.81,47.94,51.05
2020-12-24,49.84,48.18,50.88
2020-12-28,49.77,47.5,50.88
2020-12-29,49.78,47.85,50.44
2020-12-30,49.82,48.24,50.74
2020-12-31,49.81,48.35,51.22
2021-01-04,50.61,47.47,50.37
2021-01-05,52.84,49.78,53.16
2021-01-06,53.63,50.45,53.8
2021-01-07,53.78,50.63,53.7
2021-01-08,55.06,52.14,55.51
2021-01-11,54.78,52.15,54.84
2021-01-12,55.37,53.08,55.98
2021-01-13,54.96,52.81,55.52
2021-01-14,55.17,53.47,55.76
2021-01-15,54.53,52.25,54.8
2021-01-19,54.89,52.87,55.38
2021-01-20,54.97,53.16,55.66
2021-01-21,54.95,53,55.68
2021-01-22,54.76,52.28,55.22
2021-01-25,54.87,52.78,55.44
2021-01-26,54.82,52.61,55.26
2021-01-27,54.81,52.81,55.07
2021-01-28,54.76,52.26,54.87
2021-01-29,54.77,52.16,55.25
2021-02-01,55.66,53.55,56.42
2021-02-02,56.71,54.77,57.62
2021-02-03,57.69,55.67,58.61
2021-02-04,57.97,56.19,58.98
2021-02-05,58.4,56.8,59.48
2021-02-08,59.36,57.95,60.17
2021-02-09,59.63,58.34,60.74
2021-02-10,59.69,58.69,61.17
2021-02-11,59.56,58.22,61.09
2021-02-12,60.23,59.5,62.47
2021-02-16,60.6,60.07,63.96
2021-02-17,60.89,61.09,65.02
2021-02-18,60.59,60.4,64.09
2021-02-19,60.2,59.12,62.84
2021-02-22,60.62,61.67,64.73
2021-02-23,60.63,61.66,65.16
2021-02-24,60.81,63.21,66.85
2021-02-25,60.84,63.43,66.69
2021-02-26,60.85,61.55,65.86
2021-03-01,62.28,60.54,64.56
2021-03-02,61.33,59.7,63.17
2021-03-03,62.55,61.33,64.7
2021-03-04,64.8,63.81,67.32
2021-03-05,66.89,66.08,69.95
2021-03-08,65.84,65.03,68.0
2021-03-09,65.37,64.02,67.03
2021-03-10,65.54,64.45,67.53
2021-03-11,66.65,66.02,69.34
2021-03-12,66.5,65.59,68.87
2021-03-15,66.38,65.36,68.78
2021-03-16,66.05,64.82,67.95
2021-03-17,65.77,64.55,67.73
2021-03-18,63.9,59.95,62.11
2021-03-19,64.57,61.43,64.0
2021-03-22,64.71,61.48,63.89
2021-03-23,63.72,57.75,59.96
2021-03-24,64.5,61.12,63.7
2021-03-25,64.05,58.47,61.21
2021-03-26,64.43,60.93,63.77
2021-03-29,64.42,61.49,64.06
2021-03-30,64.41,60.55,63.28
2021-03-31,64.41,59.19,63.52
2021-04-01,63.27,61.41,63.85
2021-04-06,60.96,59.34,61.47
2021-04-07,61.46,59.77,61.86
2021-04-08,61.47,59.61,62.09
2021-04-09,61.19,59.29,61.89
2021-04-12,61.3,59.7,62.38
2021-04-13,61.53,60.2,62.83
2021-04-14,63.26,63.15,66.11
2021-04-15,63.48,63.42,66.13
2021-04-16,63.42,63.16,65.98
2021-04-19,63.47,63.33,66.54
2021-04-20,63.23,62.61,65.34
2021-04-21,62.71,61.34,64.02
2021-04-22,62.68,61.45,65.07
2021-04-23,62.8,62.18,65.75
2021-04-26,62.62,62.02,65.5
2021-04-27,62.75,63.03,66.25
2021-04-28,62.81,63.81,67.08
2021-04-29,62.9,65,68.26
2021-04-30,62.89,63.5,67.73
2021-05-04,66.35,65.72,68.91
2021-05-05,66.65,65.63,69.71
2021-05-06,66.01,64.73,68.62
2021-05-07,66.15,64.96,68.73
2021-05-10,66.2,64.92,68.61
2021-05-11,66.32,65.31,68.83
2021-05-12,66.77,65.96,69.62
2021-05-13,65.42,63.82,67.36
2021-05-14,66.33,65.32,69.24
2021-05-17,66.82,66.24,69.62
2021-05-18,66.64,65.49,69.01
2021-05-19,65.92,63.28,66.88
2021-05-20,65.39,61.95,65.18
2021-05-21,65.73,63.61,66.72
2021-05-24,66.26,66.13,68.59
2021-05-25,66.3,66.27,68.8
2021-05-26,66.33,66.41,68.93
2021-05-27,66.32,66.87,69.43
2021-05-28,66.28,66.31,69.36
2021-06-01,68.49,67.8,70.03
2021-06-02,69.5,68.79,70.6
2021-06-03,69.47,68.81,70.71
2021-06-04,70.03,69.57,71.3
2021-06-07,69.84,69.21,70.89
2021-06-08,70.36,70.11,71.39
2021-06-09,70.34,69.9,71.31
2021-06-10,70.52,70.34,71.65
2021-06-11,70.61,71,72.05
2021-06-14,70.78,70.94,72.27
2021-06-15,71.39,72.06,73.38
2021-06-16,71.56,72.03,73.88
2021-06-17,70.94,71.06,72.92
2021-06-18,71.07,71.64,73.1
2021-06-21,71.48,73.64,74.49
2021-06-22,71.41,73.15,74.92
2021-06-23,71.52,73.11,75.22
2021-06-24,71.6,73.31,75.95
2021-06-25,71.65,74.21,76.45
2021-06-28,71.54,72.98,74.78
2021-06-29,71.57,73.14,75.38
2021-06-30,71.57,73.52,76.94
2021-07-01,73.88,75.33,76.69
2021-07-02,74.23,75.37,77.51
2021-07-06,72.93,73.62,75.81
2021-07-07,72.08,72.22,74.31
2021-07-08,72.58,72.98,75.07
2021-07-09,73.72,74.56,77.14
2021-07-12,73.54,74.21,76.77
2021-07-13,74.36,75.24,77.5
2021-07-14,73.48,73.06,75.74
2021-07-15,72.83,71.67,74.53
2021-07-16,72.92,71.76,74.46
2021-07-19,71.01,66.45,69.33
2021-07-20,71.28,67.32,70.03
2021-07-21,72.28,70.26,72.54
2021-07-22,72.81,72.15,74.25
2021-07-23,72.87,72.24,74.86
2021-07-26,72.83,72.15,74.79
2021-07-27,72.81,71.68,74.87
2021-07-28,72.81,72.37,75.09
2021-07-29,72.89,73.62,76.3
2021-07-30,72.9,73.93,77.72
2021-08-02,71.37,71.31,73.91
2021-08-03,70.95,70.64,73.24
2021-08-04,69.39,68.19,70.99
2021-08-05,70.22,69.1,72.14
2021-08-06,69.74,68.26,71.02
2021-08-09,68.49,66.56,69.65
2021-08-10,69.71,68.33,71.14
2021-08-11,70.42,69.3,71.99
2021-08-12,70.44,69.12,71.79
2021-08-13,70.05,68.36,70.9
2021-08-16,69.53,67.44,70.07
2021-08-17,69.33,66.5,69.4
2021-08-18,68.95,65.36,68.61
2021-08-19,68.03,63.69,66.8
2021-08-20,67.6,62.25,65.51
2021-08-23,68.76,65.65,69.07
2021-08-24,69.31,67.5,71.21
2021-08-25,69.45,68.54,72.12
2021-08-26,69.24,67.42,70.42
2021-08-27,69.44,68.84,72.26
2021-08-31,69.49,68.43,73.45
2021-09-01,69.92,68.63,71.99
2021-09-02,71.22,70.07,73.56
2021-09-03,70.64,69.34,73.07
2021-09-07,69.71,68.49,71.52
2021-09-08,70.38,69.36,72.36
2021-09-09,69.63,68.26,71.32
2021-09-10,70.7,69.82,72.44
2021-09-13,71.11,70.54,72.97
2021-09-14,71.19,70.53,73.05
2021-09-15,72.09,72.59,74.84
2021-09-16,72.07,72.69,75.14
2021-09-17,71.92,72.09,74.64
2021-09-20,71.36,70.41,73.59
2021-09-21,71.57,70.51,73.65
2021-09-22,72.14,72.37,75.5
2021-09-23,72.35,73.43,76.44
2021-09-24,72.45,74.18,77.42
2021-09-27,72.61,75.54,78.85
2021-09-28,72.63,75.44,78.3
2021-09-29,72.57,75.06,77.86
2021-09-30,72.61,75.22,77.81
2021-10-01,76.77,76.01,79.4
2021-10-04,78.52,77.68,81.44
2021-10-05,79.71,79.17,82.72
2021-10-06,78.69,77.66,81.39
2021-10-07,79.45,78.46,82.34
2021-10-08,79.76,79.55,82.17
2021-10-11,80.68,80.64,83.75
2021-10-12,80.58,80.75,83.53
2021-10-13,80.45,80.67,83.53
2021-10-14,80.95,81.43,83.86
2021-10-15,81.51,82.39,84.67
2021-10-18,81.31,82.62,84.13
2021-10-19,81.61,83.19,85.02
2021-10-20,81.81,84.4,85.76
2021-10-21,81.44,82.64,84.58
2021-10-22,81.61,84.53,85.43
2021-10-25,81.73,84.64,84.85
2021-10-26,81.82,85.64,85.11
2021-10-27,81.6,82.66,84.12
2021-10-28,81.55,82.78,83.4
2021-10-29,81.58,83.5,83.1
2021-11-01,82.38,84.08,84.51
2021-11-02,82.54,83.91,84.42
2021-11-03,80.16,80.82,81.1
2021-11-04,78.95,78.88,80.15
2021-11-05,80.94,81.25,82.43
2021-11-08,81.62,81.96,83.22
2021-11-09,82.58,84.12,84.52
2021-11-10,81.27,81.23,82.91
2021-11-11,81.67,81.47,83.4
2021-11-12,81.48,80.87,82.9
2021-11-15,81.41,80.85,81.94
2021-11-16,81.67,80.76,82.85
2021-11-17,80.76,78.32,80.67
2021-11-18,81.11,78.92,82.45
2021-11-19,80.33,76.11,80.24
2021-11-22,80.55,76.74,80.97
2021-11-23,81.22,78.32,83.43
2021-11-24,81.2,78.32,82.37
2021-11-26,80.08,.,72.37
2021-11-29,80.31,69.88,73.34
2021-11-30,80.28,66.14,70.86
2021-12-01,67.73,65.44,69.53
2021-12-02,68.62,66.6,70.56
2021-12-03,68.91,66.39,70.71
2021-12-06,71.65,69.62,73.38
2021-12-07,73.54,71.94,75.54
2021-12-08,73.69,72.43,75.94
2021-12-09,72.72,70.87,74.1
2021-12-10,73.19,71.71,74.98
2021-12-13,72.71,71.19,74.12
2021-12-14,72.22,70.57,73.37
2021-12-15,72.38,70.89,73.71
2021-12-16,73.02,72.34,74.64
2021-12-17,72.43,70.93,72.97
2021-12-20,71.65,68.69,70.51
2021-12-21,72.42,71.1,72.85
2021-12-22,72.71,72.82,74.69
2021-12-23,72.99,73.89,76.26
2021-12-29,73.21,76.58,78.63
2021-12-30,73.2,76.83,78.61
2021-12-31,73.19,75.33,77.24
2022-01-03,77.03,75.99,78.25
2022-01-04,78.03,77,79.39
2022-01-05,78.81,77.83,80.6
2022-01-06,79.69,79.47,81.99
2022-01-07,79.53,79,82.28
2022-01-10,78.89,78.11,81.56
2022-01-11,80.79,81.17,84.98
2022-01-12,81.34,82.51,85.83
2022-01-13,81.3,81.97,85.8
2022-01-14,82.27,83.82,87.17
2022-01-18,83.22,85.42,88.83
2022-01-19,83.56,86.84,89.64
2022-01-20,83.5,86.29,89.75
2022-01-21,83.29,85.16,89.75
2022-01-24,82.87,84.48,87.74
2022-01-25,83.21,86.61,89.49
2022-01-26,83.39,88.33,91.22
2022-01-27,83.33,87.61,90.7
2022-01-28,83.36,87.67,91.47
2022-01-31,83.45,89.16,92.35
2022-02-01,87.42,88.22,90.24
2022-02-02,87.77,88.16,91.43
2022-02-03,89.16,90.17,92.99
2022-02-04,91.06,92.27,96.86
2022-02-07,90.76,91.25,97.28
2022-02-08,89.28,89.32,96.07
2022-02-09,89.88,89.57,94.95
2022-02-10,89.92,89.83,96.37
2022-02-11,91.79,93.1,97.5
2022-02-14,92.61,95.52,101.66
2022-02-15,90.86,92.07,98.43
2022-02-16,91.56,93.83,97.44
2022-02-17,90.67,91.78,95.28
2022-02-18,90.9,91.26,96.18
2022-02-22,91.84,92.11,98.73
2022-02-23,91.7,92.14,99.29
2022-02-24,92.07,92.77,101.29
2022-02-25,91.93,91.68,98.56
2022-02-28,92.34,96.13,103.08
2022-03-01,102.0,103.66,110.93
2022-03-02,109.4,110.74,118.94
2022-03-03,106.58,107.69,115.36
2022-03-04,114.95,115.77,123.86
2022-03-07,118.18,119.26,129.02
2022-03-08,122.53,123.64,133.18
2022-03-09,110.86,108.81,116.58
2022-03-10,110.2,105.93,114.54
2022-03-11,112.59,109.31,118.11
2022-03-14,109.18,103.22,110.39
2022-03-15,105.76,96.42,105.14
2022-03-16,104.89,94.85,104.61
2022-03-17,108.78,102.97,113.5
2022-03-18,108.99,104.69,114.32
2022-03-21,111.73,112.14,122.29
2022-03-22,111.43,111.03,121.53
2022-03-23,112.59,114.89,127.52
2022-03-24,111.82,114.2,123.98
2022-03-25,112.1,116.2,122.67
2022-03-28,110.84,107.55,114.5
2022-03-29,110.55,104.25,112.79
2022-03-30,110.89,107.81,115.59
2022-03-31,110.89,100.53,107.29
2022-04-01,101.85,99.32,106.13
2022-04-04,104.77,103.29,108.15
2022-04-05,103.27,101.98,106.6
2022-04-06,98.81,96.39,100.81
2022-04-07,98.42,96.05,99.83
2022-04-08,99.72,98.35,101.26
2022-04-11,97.02,94.22,97.92
2022-04-12,101.49,100.52,104.42
2022-04-13,103.7,104.26,108.49
2022-04-14,104.82,106.84,110.83
2022-04-19,103.09,102.54,105.49
2022-04-20,103.12,102.56,105.05
2022-04-21,103.85,103.89,107.2
2022-04-22,103.43,102.86,105.15
2022-04-25,102.3,99.6,99.27
2022-04-26,102.69,102.62,102.89
2022-04-27,102.69,101.96,103.3
2022-04-28,102.76,105.47,105.78
2022-04-29,102.79,104.59,108.36
2022-05-03,103.39,102.53,104.94
2022-05-04,105.97,107.84,110.53
2022-05-05,106.4,108.17,112.11
2022-05-06,107.57,109.72,113.86
2022-05-09,102.79,103.08,106.67
2022-05-10,100.43,99.74,102.61
2022-05-11,104.56,105.5,107.7
2022-05-12,104.66,106.15,108.06
2022-05-13,107.23,110.52,112.12
2022-05-16,108.4,114.07,114.86
2022-05-17,106.88,112.31,112.89
2022-05-18,105.53,109.67,110.04
2022-05-19,106.99,112.21,113.22
2022-05-20,107.21,112.63,113.63
2022-05-23,107.32,110.32,115.13
2022-05-24,107.17,112.55,115.77
2022-05-25,107.17,112.88,116.41
2022-05-26,107.64,116.19,119.81
2022-05-27,107.75,114.96,121.19
2022-05-31,108.13,114.38,125.53
2022-06-01,110.91,115.26,122.2
2022-06-03,113.83,118.97,125.68
2022-06-06,114.01,118.41,124.99
2022-06-07,115.29,119.55,126.89
2022-06-08,117.5,121.94,129.2
2022-06-09,117.09,121.52,128.47
2022-06-10,116.67,120.73,127.44
2022-06-13,116.64,120.92,128.44
2022-06-14,115.71,118.92,127.02
2022-06-15,114.35,115.32,124.96
2022-06-16,115.34,117.56,125.78
2022-06-17,112.72,109.56,119.22
2022-06-21,113.34,110.49,118.51
2022-06-22,112.34,106.22,115.54
2022-06-23,111.86,105.75,114.5
2022-06-24,112.3,109.07,117.36
2022-06-27,112.7,111.44,119.69
2022-06-28,113.11,113.66,122.21
2022-06-29,113.02,111.65,120.8
2022-06-30,113.24,107.76,119.78
2022-07-01,107.89,110.3,119.21
2022-07-05,100.73,101.55,110.49
2022-07-06,98.98,100.31,108.54
2022-07-07,102.02,104.62,113.4
2022-07-08,104.22,106.78,113.95
2022-07-11,104.28,106.09,114.85
2022-07-12,99.14,97.69,106.98
2022-07-13,100.0,98.44,107.17
2022-07-14,99.7,97.79,107.74
2022-07-15,101.03,99.59,112.26
2022-07-18,103.58,104.48,117.27
2022-07-19,103.78,106.12,114.96
2022-07-20,103.54,104.45,115.86
2022-07-21,102.55,98.44,112.81
2022-07-22,102.32,97.71,106.77
